"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Jun-2025","EQ","919.85","924.35","895.00","915.50","909.00","904.50","909.61","1,348.00","588.00","54,73,555","4,97,87,96,703.30","67,801"
"10-Jun-2025","EQ","907.15","921.00","896.45","901.40","916.05","915.50","910.37","1,348.00","588.00","81,34,942","7,40,58,13,845.80","95,612"
"09-Jun-2025","EQ","888.50","908.40","876.00","884.10","901.00","901.40","899.57","1,348.00","588.00","68,02,393","6,11,92,00,367.80","88,317"
"06-Jun-2025","EQ","875.65","892.50","872.45","872.20","884.70","884.10","884.75","1,348.00","588.00","66,79,702","5,90,98,83,013.90","92,628"
"05-Jun-2025","EQ","869.95","883.00","864.05","866.00","873.95","872.20","872.91","1,348.00","588.00","57,23,306","4,99,59,40,545.50","86,177"
"04-Jun-2025","EQ","860.50","873.50","851.55","856.55","865.50","866.00","864.11","1,348.00","588.00","59,47,467","5,13,92,69,654.55","85,304"
"03-Jun-2025","EQ","876.55","877.75","854.00","874.85","856.30","856.55","859.29","1,348.00","588.00","58,11,649","4,99,38,73,386.40","1,01,456"
"02-Jun-2025","EQ","874.80","888.20","872.05","867.20","876.50","874.85","877.51","1,348.00","588.00","19,11,879","1,67,76,95,495.80","44,466"
"30-May-2025","EQ","881.05","889.45","862.00","880.95","867.80","867.20","870.16","1,348.00","588.00","12,58,500","1,09,50,93,702.10","36,697"
"29-May-2025","EQ","877.70","898.20","869.40","869.00","882.00","880.95","883.50","1,348.00","588.00","20,45,238","1,80,69,77,645.10","66,332"
"28-May-2025","EQ","881.80","890.85","865.75","879.15","868.00","869.00","879.58","1,348.00","588.00","9,90,253","87,10,06,598.70","28,147"
"27-May-2025","EQ","880.00","890.40","874.25","878.70","882.00","879.15","880.42","1,348.00","588.00","17,72,369","1,56,04,23,374.80","36,707"
"26-May-2025","EQ","877.95","891.00","875.90","876.55","877.75","878.70","883.02","1,348.00","588.00","9,66,027","85,30,18,396.80","27,184"
"23-May-2025","EQ","884.50","884.50","871.10","879.00","875.80","876.55","878.07","1,348.00","588.00","8,16,889","71,72,82,173.10","24,404"
"22-May-2025","EQ","869.00","886.40","864.35","872.15","880.35","879.00","875.83","1,348.00","588.00","11,21,955","98,26,41,540.20","44,530"
"21-May-2025","EQ","869.90","881.00","860.50","869.75","875.05","872.15","871.16","1,348.00","588.00","12,39,047","1,07,94,09,254.00","39,748"
"20-May-2025","EQ","894.45","897.55","866.55","888.90","871.45","869.75","881.14","1,348.00","588.00","13,01,836","1,14,70,97,291.85","41,364"
"19-May-2025","EQ","920.00","920.80","886.00","915.05","890.00","888.90","897.18","1,348.00","588.00","21,20,510","1,90,24,81,629.10","48,912"
"16-May-2025","EQ","912.10","934.75","908.05","910.80","913.10","915.05","921.23","1,348.00","588.00","22,88,025","2,10,77,93,472.05","51,755"
"15-May-2025","EQ","894.95","913.55","884.05","890.80","909.55","910.80","899.62","1,348.00","588.00","17,55,815","1,57,95,58,684.00","41,612"
"14-May-2025","EQ","903.95","903.95","886.00","904.20","891.00","890.80","891.27","1,348.00","588.00","19,29,234","1,71,94,69,066.80","52,886"
"13-May-2025","EQ","890.00","908.90","885.25","894.30","905.00","904.20","898.30","1,348.00","588.00","22,46,532","2,01,80,62,216.65","60,768"
"12-May-2025","EQ","860.00","897.65","851.05","827.10","896.00","894.30","883.63","1,348.00","588.00","32,86,835","2,90,43,41,634.55","73,681"
"09-May-2025","EQ","811.00","834.60","806.10","839.00","831.30","827.10","817.66","1,348.00","588.00","26,39,860","2,15,85,09,404.15","63,473"
"08-May-2025","EQ","880.05","886.70","826.30","871.60","830.00","839.00","860.80","1,348.00","588.00","32,62,818","2,80,86,48,292.70","77,994"
"07-May-2025","EQ","878.00","907.00","865.10","907.40","875.20","871.60","881.94","1,348.00","588.00","57,12,060","5,03,77,12,090.20","1,01,402"
"06-May-2025","EQ","939.00","941.50","901.10","937.20","904.00","907.40","915.66","1,348.00","588.00","25,69,364","2,35,26,66,529.65","57,157"
"05-May-2025","EQ","911.00","980.85","909.95","907.15","938.00","937.20","952.85","1,348.00","588.00","57,11,254","5,44,19,66,771.35","1,15,936"
"02-May-2025","EQ","900.05","929.85","900.05","899.65","906.00","907.15","914.57","1,348.00","588.00","20,65,515","1,88,90,52,049.40","56,529"
"30-Apr-2025","EQ","919.70","919.70","892.00","917.65","895.00","899.65","908.56","1,348.00","588.00","11,91,673","1,08,27,06,371.60","35,696"
"29-Apr-2025","EQ","929.90","939.85","912.05","925.30","917.95","917.65","921.58","1,348.00","588.00","14,66,481","1,35,14,81,933.55","43,538"
"28-Apr-2025","EQ","914.00","941.60","904.00","914.35","925.10","925.30","924.92","1,348.00","588.00","24,04,027","2,22,35,30,819.00","62,771"
"25-Apr-2025","EQ","978.00","981.00","905.90","961.70","909.20","914.35","938.29","1,348.00","588.00","57,36,784","5,38,27,82,202.35","1,39,303"
"24-Apr-2025","EQ","940.00","971.70","935.00","938.80","963.00","961.70","954.24","1,348.00","588.00","36,95,638","3,52,65,07,712.50","87,713"
"23-Apr-2025","EQ","935.70","942.15","901.60","929.60","938.00","938.80","924.22","1,348.00","588.00","25,00,136","2,31,06,85,487.00","54,538"
"22-Apr-2025","EQ","941.90","942.75","926.00","937.50","931.00","929.60","934.14","1,348.00","588.00","16,54,173","1,54,52,36,168.75","41,667"
"21-Apr-2025","EQ","924.00","949.00","915.45","914.15","935.35","937.50","936.21","1,348.00","588.00","21,53,406","2,01,60,40,192.25","55,270"
"17-Apr-2025","EQ","896.05","937.00","891.65","895.15","913.00","914.15","920.45","1,348.00","588.00","38,49,304","3,54,31,03,932.00","87,085"
